iter	Passed	Remaining
0	0	817
1	1	725
2	2	696
3	2	664
4	3	645
5	3	645
6	4	641
7	5	637
8	5	655
9	6	667
10	7	664
11	8	684
12	9	689
13	10	714
14	10	712
15	11	710
16	12	713
17	13	714
18	13	714
19	14	714
20	15	709
21	15	704
22	16	700
23	17	707
24	18	707
25	18	707
26	19	708
27	20	705
28	21	704
29	21	704
30	22	704
31	23	703
32	24	706
33	25	714
34	26	723
35	26	720
36	27	717
37	28	713
38	28	710
39	29	707
40	30	705
41	30	706
42	31	704
43	32	701
44	32	697
45	33	695
46	34	693
47	34	691
48	35	692
49	36	694
50	37	698
51	38	698
52	39	706
53	40	705
54	40	703
55	41	702
56	42	703
57	43	702
58	44	702
59	44	701
60	45	700
61	46	698
62	46	696
63	47	694
64	48	693
65	49	693
66	50	696
67	50	695
68	51	694
69	52	694
70	53	694
71	53	695
72	54	693
73	55	693
74	56	692
75	56	691
76	57	689
77	58	688
78	58	686
79	59	684
80	60	685
81	61	686
82	61	683
83	62	683
84	63	688
85	64	688
86	65	688
87	67	695
88	67	695
89	68	695
90	69	694
91	70	693
92	71	694
93	72	697
94	73	696
95	73	695
96	74	693
97	75	692
98	75	689
99	76	688
100	77	686
101	77	685
102	78	687
103	80	693
104	81	695
105	82	695
106	83	695
107	83	693
108	84	694
109	85	692
110	86	691
111	87	690
112	87	688
113	88	687
114	89	686
115	89	684
116	90	681
117	91	681
118	92	681
119	92	681
120	93	681
121	94	679
122	95	679
123	96	679
124	96	678
125	97	679
126	98	677
127	99	676
128	100	675
129	100	674
130	101	673
131	102	672
132	102	671
133	103	671
134	104	670
135	105	669
136	106	669
137	107	668
138	107	667
139	108	666
140	109	667
141	110	665
142	111	665
143	112	666
144	112	665
145	113	664
146	114	664
147	115	663
148	116	663
149	116	662
150	117	660
151	118	659
152	118	658
153	119	656
154	120	655
155	121	654
156	121	653
157	122	652
158	123	652
159	124	651
160	124	649
161	125	649
162	126	648
163	127	648
164	128	647
165	128	647
166	129	645
167	130	644
168	130	643
169	131	642
170	132	641
171	133	640
172	133	639
173	134	638
174	135	637
175	135	635
176	136	634
177	137	632
178	137	631
179	138	630
180	139	630
181	140	630
182	141	629
183	141	629
184	142	628
185	143	627
186	143	625
187	144	624
188	145	623
189	146	622
190	146	621
191	147	620
192	148	619
193	148	618
194	149	618
195	150	616
196	151	615
197	151	614
198	152	613
199	153	612
200	154	612
201	154	611
202	155	610
203	156	610
204	157	610
205	158	609
206	158	608
207	159	608
208	160	609
209	161	608
210	162	607
211	163	606
212	163	605
213	164	604
214	165	603
215	165	602
216	166	601
217	167	600
218	168	599
219	168	598
220	169	597
221	170	596
222	171	596
223	171	595
224	172	594
225	173	593
226	174	592
227	174	591
228	175	590
229	176	589
230	176	588
231	177	587
232	178	586
233	178	585
234	179	584
235	180	583
236	180	582
237	181	581
238	182	580
239	183	579
240	183	578
241	184	578
242	185	577
243	186	577
244	187	576
245	187	575
246	188	574
247	189	573
248	189	572
249	190	570
250	191	569
251	191	568
252	192	567
253	192	566
254	193	565
255	194	565
256	195	564
257	196	563
258	196	562
259	197	561
260	198	560
261	198	559
262	199	558
263	200	558
264	201	557
265	201	556
266	202	556
267	203	555
268	203	554
269	204	552
270	205	552
271	206	551
272	206	550
273	207	549
274	208	548
275	208	547
276	209	546
277	210	546
278	211	545
279	211	545
280	212	544
281	213	543
282	214	542
283	214	541
284	215	541
285	216	540
286	217	539
287	218	539
288	219	538
289	220	538
290	220	538
291	221	537
292	222	536
293	223	535
294	223	534
